fecha,exp_inf_12m,exp_tcn_12m,tcn,ipc,tot,embi
2011-01-01,3.3386419017633386,752.294091807237,753.0310393357989,430.85452075874827,472.31674320982125,145.95
2011-02-01,3.411152962876782,751.7520850603031,754.051167551504,430.9139853245385,473.338466772757,151
2011-03-01,3.415985164670479,752.0234556474628,754.1352444787692,430.9693163338885,477.71978788579156,155.1304347826087
2011-04-01,3.4401426717332315,750.4942068396172,750.1380422306022,430.9638780446618,479.3817568548254,151.6
2011-05-01,3.1498667059371015,748.99708988348,749.6948454284596,431.28569406539003,476.2186715582133,147.28571428571428
2011-06-01,3.343477608623742,749.2760300922379,748.5793189935321,431.75626197233674,475.14864762797185,144.63636363636363
2011-07-01,3.3918218203460646,749.2955267987489,747.4517186758218,432.13254475905296,476.1372201026826,141.8
2011-08-01,3.343477608623742,748.99708988348,748.7386823427532,432.32574392235443,473.5018408645675,170.82608695652175
2011-09-01,3.2418786255500742,748.4368643286131,751.6810194420025,432.7915855433659,473.89991284107157,216.23809523809524
2011-10-01,3.21767316952212,749.9423290592229,755.4470735748698,433.28106716862936,472.8629356175695,206
2011-11-01,3.2349633788113,749.886973397693,755.8864448195184,433.60505423110754,474.04960605534353,195.47368421052633
2011-12-01,3.21767316952212,752.294091807237,756.77253867475,434.0203393425737,472.5618192301692,187.57142857142858
2012-01-01,3.200379970202577,751.7520850603031,751.8960333374072,434.33482029390547,473.86318721273864,196.65
2012-02-01,3.1830837798183276,749.0529402060712,748.6470365703726,434.40211459653096,476.4202208323935,175.95
2012-03-01,3.411152962876782,748.4368643286131,747.7328084131299,434.3120275586701,476.04414753165025,149.0909090909091
2012-04-01,3.343477608623742,748.4368643286131,748.1058238602045,434.3300199517865,473.4457431751058,147.4
2012-05-01,3.415985164670479,747.8734825567875,749.0481103853613,434.6820220988781,468.3668004457729,173.4090909090909
2012-06-01,3.401487858727762,747.4488534686424,749.1216770459035,434.91384602042604,460.51701859880916,172.76190476190476
2012-07-01,3.266078223954828,748.5772152288451,748.7252744932908,435.1160099518677,462.3499479710617,150.61904761904762
2012-08-01,3.246719013750141,749.2386972190955,749.905850485236,435.38467619307903,465.93378130805024,128.7826086956522
2012-09-01,3.246719013750141,749.5541943884257,749.6623580926168,435.83594043414183,466.6282252173551,125.94736842105263
2012-10-01,3.1595561589750583,749.2760300922379,749.8688931365127,436.27945213472515,464.3827559131566,110.47619047619048
2012-11-01,3.1644005334461407,749.5541943884257,750.6880922764774,436.3455928008544,463.28888343178,122.63157894736842
2012-12-01,3.0529205034822793,750.5217209407674,749.2169039810999,436.4293007138265,464.98450270739227,116.4
2013-01-01,2.8247262938102673,748.4368643286131,747.8862382106591,436.30491382212904,467.1161813452757,112.71428571428571
2013-02-01,2.9073247485707165,748.4368643286131,749.0972749064563,436.2087237060537,468.78876065073297,131.47368421052633
2013-03-01,2.989855034586335,749.5541943884257,750.1671075539579,436.2090640363609,466.6465323422828,141.55
2013-04-01,2.9704422706330913,749.5541943884257,751.1989535497528,436.33832753740955,464.1853697146577,131.95454545454547
2013-05-01,3.091710263472161,750.9335266016592,752.235912724328,436.660644855691,463.9577509804586,134.8181818181818
2013-06-01,3.0868623662466224,753.3693709848633,755.5131837227324,437.04613495288544,463.0964843304878,180
2013-07-01,3.0674684267918977,754.9609165154532,754.8780664147599,437.32224933796414,464.41718968671637,168.9090909090909
2013-08-01,3.0820142339886365,754.9345972627681,755.2325772584768,437.63793196386746,466.430515907675,182.95454545454547
2013-09-01,3.0335199796072887,754.9609165154532,755.8886770395656,438.07935887280405,467.1361203001461,180.55
2013-10-01,3.014115691198681,754.9609165154532,754.2168152227612,438.1051696333195,466.1417349499435,171.54545454545453
2013-11-01,2.9461710149619047,756.3460164066212,756.129491368394,438.0869416759672,465.13597803850695,182.27777777777777
