fecha,exp_inf_12m,exp_tcn_12m,tcn,ipc,tot,embi,fed_mp,ebp,oil_shock
2009-02-01,4.783732941416006,780.3843303538772,783.2453098369101,425.73794763463286,433.60136726322753,477.7894736842105,0,3.1952970685112247,2.44268071009119
2009-03-01,4.669272799198235,784.3848638152472,781.3299473114528,426.0013774559021,433.92642568331246,483.40909090909093,-0.13923519,2.7668966576344736,-0.16265502969328
2009-04-01,4.401688541677426,782.4046010856292,777.4588714203463,426.1919980727441,436.1092074640352,417.23809523809524,-0.028376,2.2667163765758467,1.32201476016706
2009-05-01,4.44952398865513,777.3804794419545,770.7729025023509,426.24594864000835,441.46741960866154,323.25,0,1.37182807553766,-0.62164846724787
2009-06-01,4.353830201448341,771.8685495198466,764.3593107042336,426.3370654326094,449.02767150306306,297.54545454545456,0.06043286,0.9363988110916734,-0.364983670995196
2009-07-01,4.49733656427312,772.7535110475447,762.6903528368694,426.5306880837893,448.17439878546065,297.27272727272725,0,0.3318890738709479,1.38592199368734
2009-08-01,4.478214277189325,769.6212639346408,761.0340413191029,426.81153711856376,452.44046053596463,261.14285714285717,0.00839543,0.0656270483087269,-2.32960353562791
2009-09-01,4.301159559324745,767.3223121121708,759.0326011289746,426.8861491519285,450.8265252268254,249.42857142857142,-0.07707067,0.06910812908257702,0.562620248825631
2009-10-01,4.2580447535118475,760.0902459542082,755.4286248804399,427.0571331545813,453.75866689691816,220.38095238095238,0,-0.134272585951412,-0.549073177911312
2009-11-01,3.922071315328133,760.0902459542082,758.7070043763656,427.17558151137086,456.34845844645673,214.73684210526315,-0.01798237,0.00569466953027664,-0.112899932632967
2009-12-01,3.729578474369693,761.0852790395251,760.9391326937988,427.2594305523386,456.26605926093237,208.13636363636363,0.00397967,-0.47752954701664985,-0.841361941494699
2010-01-01,3.763291480685086,761.7021841421965,758.8497501889307,427.5306002958661,459.95853908850216,210.6315789473684,0.00858024,-0.1844158040971919,-0.383417993832019
2010-02-01,3.777736433402992,760.5890001053122,757.6150753100441,427.8004777705841,458.6426197659814,235.42105263157896,0,0.01486772558196003,0.134050193831498
2010-03-01,3.6572980230840235,761.0852790395251,755.3807108365405,427.8285746412263,461.40497890412996,189,-0.03005488,-0.14428820287159017,-0.310335948596055
2010-04-01,3.5367143837291346,758.1413782958219,757.0626482692296,428.15398476303716,464.358802330577,172.76190476190476,-0.01341985,-0.26014104742346245,-0.626176163984126
2010-05-01,3.246719013750141,760.0902459542082,759.3051471026929,428.30481371414334,461.22858465086694,230.55,0,-0.11829525655005124,0.701375376388298
2010-06-01,3.275756423817229,759.0852123688582,756.1897617823728,428.56369828793805,461.5970870447643,223.04545454545453,-0.01870231,0.06326000225827455,-1.49621488052466
2010-07-01,3.343477608623742,754.9609165154532,753.5299244835284,428.7555577272588,461.03087856924213,197.66666666666666,0,0.19909517643790675,-0.196252089151776
2010-08-01,3.3192967355763963,755.3810852008231,750.5424615682925,429.10088722529184,459.6295395765859,165.77272727272728,-0.04988433,-0.2663954760318381,-0.582327300903755
2010-09-01,3.203147083066376,752.8331766707247,749.859178573944,429.1313114257894,459.8400650716969,175.95238095238096,-0.0383132,0.02428498053393113,-0.446417879480119
2010-10-01,3.140176313953164,751.2071245835466,750.1481768148519,429.3433208515465,462.342764010005,157.5,0,0.02704628291453703,-1.04306891307361
2010-11-01,3.174088578406246,752.2400231387124,753.0689516339145,429.7254347890504,465.05136327730077,151.73684210526315,0.01694339,-0.10585176877716009,-0.194171167364871
2010-12-01,3.1498667059371015,752.294091807237,756.3127664182025,430.36335500801357,468.92764224579037,160.54545454545453,-0.00318311,-0.39188153361350286,-0.946142507428641
