period,"Monthly – Colombia – Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to Total Commodity Trade – Recent, monthly, rolling weights (IMF/PCTOT/M.CO.xm.R_RW_IX)"
1995-12,54.7467918395996
1996-01,54.4035797119141
1996-02,57.2322540283203
1996-03,56.6049156188965
1996-04,58.0008087158203
1996-05,56.4922752380371
1996-06,55.7361488342285
1996-07,55.1758079528809
1996-08,55.813419342041
1996-09,56.3987503051758
1996-10,57.0620536804199
1996-11,56.5529937744141
1996-12,56.4222679138184
1997-01,58.381233215332
1997-02,60.0371170043945
1997-03,60.7716522216797
1997-04,59.5831298828125
1997-05,62.9311485290527
1997-06,61.0688095092773
1997-07,59.6286659240723
1997-08,59.3920288085938
1997-09,59.9994430541992
1997-10,59.5467147827148
1997-11,58.7859039306641
1997-12,58.7613487243652
1998-01,57.346378326416
1998-02,56.6116371154785
1998-03,54.6985473632813
1998-04,57.2068328857422
1998-05,56.7610626220703
1998-06,54.3398780822754
1998-07,52.5300712585449
1998-08,51.9439315795898
1998-09,52.9592552185059
1998-10,51.9186935424805
1998-11,52.1659545898438
1998-12,49.9670181274414
1999-01,51.604808807373
1999-02,49.9732475280762
1999-03,52.1026344299316
1999-04,53.7015419006348
1999-05,53.6862602233887
1999-06,53.1627044677734
1999-07,54.5729103088379
1999-08,55.4185371398926
1999-09,56.4700584411621
1999-10,56.1131629943848
1999-11,59.0101165771484
1999-12,60.5560836791992
2000-01,59.3282318115234
2000-02,59.8026428222656
2000-03,58.0821342468262
2000-04,55.7097969055176
2000-05,57.5003700256348
2000-06,59.0672454833984
2000-07,57.7023696899414
2000-08,58.1159210205078
2000-09,59.8699378967285
2000-10,58.7976112365723
2000-11,58.035099029541
2000-12,53.9198303222656
2001-01,55.8881683349609
2001-02,58.1123580932617
2001-03,55.8230895996094
2001-04,56.1791229248047
2001-05,58.7608108520508
2001-06,57.8779602050781
2001-07,55.7443733215332
2001-08,56.2638244628906
2001-09,54.8853797912598
2001-10,50.2820129394531
2001-11,47.9474792480469
2001-12,47.5908813476563
2002-01,48.0880737304688
2002-02,49.6673469543457
2002-03,54.6220359802246
2002-04,56.1143798828125
2002-05,56.3627052307129
2002-06,54.4045639038086
2002-07,54.1675338745117
2002-08,53.5230712890625
2002-09,56.3444519042969
2002-10,57.0056571960449
2002-11,54.210578918457
2002-12,58.1402893066406
2003-01,60.9483375549316
2003-02,62.2279167175293
2003-03,59.2564125061035
2003-04,54.2617149353027
2003-05,53.6301536560059
2003-06,54.8991432189941
2003-07,55.6879463195801
2003-08,56.3988151550293
2003-09,54.599681854248
2003-10,55.8433952331543
2003-11,56.5458831787109
2003-12,57.7682800292969
2004-01,60.1124305725098
2004-02,60.8580131530762
2004-03,63.421443939209
2004-04,64.0368804931641
2004-05,67.3434906005859
2004-06,67.6798782348633
2004-07,69.5365676879883
2004-08,71.7161026000977
2004-09,71.2966461181641
2004-10,74.6520080566406
2004-11,71.4800567626953
2004-12,70.1269683837891
2005-01,73.0492248535156
2005-02,75.3062210083008
2005-03,79.4325332641602
2005-04,78.0877838134766
2005-05,76.8426818847656
2005-06,78.9205093383789
2005-07,78.3466415405273
2005-08,79.9772262573242
2005-09,80.3658599853516
2005-10,77.0972061157227
2005-11,74.8763046264648
2005-12,76.8389663696289
2006-01,82.3202743530273
2006-02,83.4417114257813
2006-03,84.2682342529297
2006-04,87.5744705200195
2006-05,88.7206726074219
2006-06,86.2143478393555
2006-07,88.3392944335938
2006-08,88.3944702148438
2006-09,82.7441940307617
2006-10,78.6568603515625
2006-11,79.6239776611328
2006-12,82.9783630371094
2007-01,79.435302734375
2007-02,81.2281646728516
2007-03,82.48291015625
2007-04,84.8729705810547
2007-05,84.8443222045898
2007-06,87.7237396240234
2007-07,91.8256072998047
2007-08,90.1739273071289
2007-09,92.1556243896484
2007-10,95.3907089233398
2007-11,101.345832824707
2007-12,101.173324584961
2008-01,101.504341125488
2008-02,110.11595916748
2008-03,112.422142028809
2008-04,112.302055358887
2008-05,118.361450195313
2008-06,123.196838378906
2008-07,127.279258728027
2008-08,119.239105224609
2008-09,112.892974853516
2008-10,96.05126953125
2008-11,85.4891815185547
2008-12,75.2931518554688
2009-01,77.0352401733398
2009-02,76.4023666381836
2009-03,76.651123046875
2009-04,78.342643737793
2009-05,82.6549072265625
2009-06,89.146110534668
2009-07,88.3886871337891
2009-08,92.2409896850586
2009-09,90.7642288208008
2009-10,93.4649658203125
2009-11,95.9171295166016
2009-12,95.8381271362305
2010-01,99.4430770874023
2010-02,98.1430587768555
2010-03,100.891914367676
2010-04,103.916534423828
2010-05,100.71410369873
2010-06,101.085922241211
2010-07,100.515182495117
2010-08,99.1164474487305
2010-09,99.3253326416016
2010-10,101.842514038086
2010-11,104.638717651367
2010-12,108.774444580078
2011-01,112.524101257324
2011-02,113.679679870605
2011-03,118.771072387695
2011-04,120.761505126953
2011-05,117.001495361328
2011-06,115.756225585938
2011-07,116.906234741211
2011-08,113.86555480957
2011-09,114.319725036621
2011-10,113.140380859375
2011-11,114.490982055664
2011-12,112.80020904541
2012-01,114.27774810791
2012-02,117.237548828125
2012-03,116.797477722168
2012-04,113.801696777344
2012-05,108.16609954834
2012-06,100.0
2012-07,101.849830627441
2012-08,105.56615447998
2012-09,106.301803588867
2012-10,103.941429138184
2012-11,102.810638427734
2012-12,104.568778991699
2013-01,106.82177734375
2013-02,108.623481750488
2013-03,106.321266174316
2013-04,103.736465454102
2013-05,103.500610351563
2013-06,102.613021850586
2013-07,103.977226257324
2013-08,106.091842651367
2013-09,106.843078613281
2013-10,105.785911560059
2013-11,104.727294921875
2013-12,106.385955810547
2014-01,104.83088684082
2014-02,106.013893127441
